NULL,HORR,The Lost Boys,B,,97,The Lost Boys,0,NULL,NULL
NULL,COMDY,The Hangover,B,Extended Edition,108,The Hangover,0,NULL,NULL
NULL,DISAS,Independence Day,B,,138,Independence Day,0,NULL,NULL
NULL,CRIME,Jackie Brown,B,,154,Jackie Brown,0,NULL,NULL
NULL,WAR,A Bridge Too Far,B,,168,A Bridge Too Far,0,NULL,NULL
NULL,WEST,Unforgiven,B,,126,Unforgiven,0,NULL,NULL
NULL,THRIL,The Girl with the Dragon Tattoo,B,,154,The Girl with the Dragon Tattoo,0,NULL,NULL
NULL,DISAS,Armegedon,B,,151,Armegedon,0,NULL,NULL
NULL,ACTN,Demolition Man,B,,115,Demolition Man,0,NULL,NULL
NULL,THRIL,Patriot Games,B,,117,Patriot Games,0,NULL,NULL
NULL,COMDY,Blazing Saddles,B,,93,Blazing Saddles,0,NULL,NULL
NULL,DRAMA,Gravity,B,,91,Gravity,0,NULL,NULL
NULL,CRIME,Blow,B,,123,Blow,0,NULL,NULL
NULL,WAR,Valkyrie,B,,115,Valkyrie,0,NULL,NULL
NULL,THRIL,The Living Daylights,B,,130,The Living Daylights,0,NULL,NULL
NULL,WAR,Where Eagles Dare,B,,155,Where Eagles Dare,0,NULL,NULL
NULL,WEST,Django Unchained,B,,165,Django Unchained,0,NULL,NULL
NULL,WAR,Full Metal Jacket,B,,112,Full Metal Jacket,0,NULL,NULL
NULL,COMDY,Saving Amy,B,,113,Saving Amy,0,NULL,NULL
NULL,WAR,Defiance,B,,136,Defiance,0,NULL,NULL
NULL,DISAS,Titanic,B,,186,Titanic,0,NULL,NULL
NULL,HIST,Troy,B,,196,Troy,0,NULL,NULL
NULL,HIST,300,B,,111,300,0,NULL,NULL
NULL,WEST,Tombstone,B,,130,Tombstone,0,NULL,NULL
NULL,THRIL,Man on Fire,B,,140,Man on Fire,0,NULL,NULL
NULL,COMDY,Kiss Kiss Bang Bang,B,,103,Kiss Kiss Bang Bang,0,NULL,NULL
NULL,ACTN,Backdraft,B,,137,Backdraft,0,NULL,NULL
NULL,WAR,Das Boot,B,,207,Das Boot,0,NULL,NULL
NULL,DRAMA,A Time to Kill,B,,150,A Time to Kill,0,NULL,NULL
NULL,DRAMA,The Last King of Scotland,B,,117,The Last King of Scotland,0,NULL,NULL
NULL,ADVNT,King Kong,B,,187,King Kong,0,NULL,NULL
NULL,COMDY,This is Spinal Tap,B,Up to 11 Edition,83,This is Spinal Tap,0,NULL,NULL
NULL,CRIME,Public Enemies,B,,140,Public Enemies,0,NULL,NULL
NULL,WAR,Saints & Soldiers,B,,86,Saints & Soldiers,0,NULL,NULL
NULL,DISAS,2012,B,,158,2012,0,NULL,NULL
NULL,DRAMA,Che,B,,135,Che,0,NULL,NULL
NULL,WAR,Flags of our Fathers,B,,126,Flags of our Fathers,0,NULL,NULL
NULL,DRAMA,A Few Good Men,B,,138,A Few Good Men,0,NULL,NULL
NULL,WAR,Assembly,B,,118,Assembly,0,NULL,NULL
NULL,DRAMA,Wall Street,B,,120,Wall Street,0,NULL,NULL
NULL,ACTN,A Good Day to Die Hard,B,Harder Extended Cut,96,A Good Day to Die Hard,0,NULL,NULL
NULL,DRAMA,The Wolf of Wall Street,B,,180,The Wolf of Wall Street,0,NULL,NULL
NULL,WEST,Wyatt Earp,B,,190,Wyatt Earp,0,NULL,NULL
NULL,DRAMA,Captain Phillips,B,,134,Captain Phillips,0,NULL,NULL
NULL,WAR,Black Book,B,,146,Black Book,0,NULL,NULL
NULL,WAR,Female Agents,B,,113,Female Agents,0,NULL,NULL
NULL,HIST,Lawrence of Arabia,B,,227,Lawrence of Arabia,0,NULL,NULL
NULL,ACTN,The Rock,B,,136,The Rock,0,NULL,NULL
NULL,COMDY,Monty Python and the Holy Grail,B,,92,Monty Python and the Holy Grail,0,NULL,NULL
NULL,ACTN,Top Gun,B,Special Collector's Edition,110,Top Gun,0,NULL,NULL
NULL,DRAMA,Chariots of Fire,B,30th Aniversary Edition,123,Chariots of Fire,0,NULL,NULL
NULL,THRIL,The Firm,B,,154,The Firm,0,NULL,NULL
NULL,THRIL,Shallow Grave,B,,93,Shallow Grave,0,NULL,NULL
NULL,THRIL,The Game,B,,128,The Game,0,NULL,NULL
NULL,WEST,Once Upon a Time in the West,B,,165,Once Upon a Time in the West,0,NULL,NULL
NULL,CRIME,Reservoir Dogs,B,,95,Reservoir Dogs,0,NULL,NULL
NULL,DRAMA,Gran Torino,B,,116,Gran Torino,0,NULL,NULL
NULL,THRIL,Falling Down,B,,112,Falling Down,0,NULL,NULL
NULL,COMDY,Wedding Crashers,B,Uncorked Edition,119,Wedding Crashers,0,NULL,NULL
NULL,THRIL,Leon,B,Special Edition includes Theatrical and Director's Cut,133,Leon,0,NULL,NULL
NULL,HIST,King Arthur,B,Director's Cut,141,King Arthur,0,NULL,NULL
NULL,ACTN,Speed,B,,111,Speed,0,NULL,NULL
NULL,CRIME,City of God,B,,130,City of God,0,NULL,NULL
NULL,ADVNT,Avatar,B,,155,Avatar,0,NULL,NULL
NULL,CRIME,Sin City,B,,124,Sin City,0,NULL,NULL
NULL,HIST,Apocalypto,B,,138,Apocalypto,0,NULL,NULL
NULL,THRIL,Blood Diamond,B,,143,Blood Diamond,0,NULL,NULL
NULL,DRAMA,Apollo 13,B,,140,Apollo 13,0,NULL,NULL
NULL,THRIL,Crimson Tide,B,,116,Crimson Tide,0,NULL,NULL
NULL,CRIME,We Own the Night,B,,117,We Own the Night,0,NULL,NULL
NULL,HIST,Ben Hur,B,,222,Ben Hur,0,NULL,NULL
NULL,WAR,Stalingrad,B,20th Anniversary Edition,137,Stalingrad,0,NULL,NULL
NULL,WAR,Fury,B,,134,Fury,0,NULL,NULL
NULL,ADVNT,Jurassic World,B,,124,Jurassic World,0,NULL,NULL
NULL,DRAMA,Steve Jobs,B,,122,Steve Jobs,0,NULL,NULL
NULL,WAR,American Sniper,B,,132,American Sniper,0,NULL,NULL
NULL,COMDY,Ghostbusters,B,,105,Ghostbusters,0,NULL,NULL
NULL,WAR,Pearl Harbour,B,,183,Pearl Harbour,0,NULL,NULL
NULL,CRIME,The Town,B,Extended Cut,125,The Town,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 4: A New Hope,B,The Complete Saga,121,Star Wars,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 5: The Empire Strikes Back,B,The Complete Saga,131,Star Wars,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 6: Return of the Jedi,B,The Complete Saga,133,Star Wars,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 1: The Phantom Menace,B,The Complete Saga,133,Star Wars,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 2: Attack of the Clones,B,The Complete Saga,142,Star Wars,0,NULL,NULL
NULL,SCIFI,Star Wars Episode 3: Revenge of the Sith,B,The Complete Saga,140,Star Wars,0,NULL,NULL
NULL,SCIFI,Alien,B,Alien Anthology,117,Alien,0,NULL,NULL
NULL,SCIFI,Aliens,B,Alien Anthology,137,Alien,0,NULL,NULL
NULL,SCIFI,Alien 3,B,Alien Anthology,115,Alien,0,NULL,NULL
NULL,SCIFI,Alien Resurrection,B,Alien Anthology,104,Alien,0,NULL,NULL
NULL,ADVNT,Jurassic Park,B,Ultimate Trilogy,127,Jurassic Park,0,NULL,NULL
NULL,ADVNT,Jurassic Park: The Lost World,B,Ultimate Trilogy,129,Jurassic Park,0,NULL,NULL
NULL,ADVNT,Jurassic Park III,B,Ultimate Trilogy,92,Jurassic Park,0,NULL,NULL
NULL,THRIL,The Bourne Ultimatum,B,The Ultimate Bourne Collection,115,The Bourne Ultimatum,0,NULL,NULL
NULL,THRIL,The Bourne Supremecy,B,The Ultimate Bourne Collection,108,The Bourne Supremecy,0,NULL,NULL
NULL,THRIL,The Bourne Identity,B,The Ultimate Bourne Collection,119,The Bourne Identity,0,NULL,NULL
NULL,ADVNT,Indiana Jones and the Raiders of the Lost Ark,B,The Complete Adventures,115,Indiana Jones,0,NULL,NULL
NULL,ADVNT,Indiana Jones and the Temple of Doom,B,The Complete Adventures,118,Indiana Jones,0,NULL,NULL
NULL,ADVNT,Indiana Jones and the Last Crusade,B,The Complete Adventures,127,Indiana Jones,0,NULL,NULL
NULL,ADVNT,Indiana Jones and the Kingdom of the Crystal Skull,B,The Complete Adventures,123,Indiana Jones,0,NULL,NULL
NULL,ACTN,Die Hard,B,Die Hard Quadrilogy,127,Die Hard,0,NULL,NULL
NULL,ACTN,Die Hard 2: Die Harder,B,Die Hard Quadrilogy,118,Die Hard 2,0,NULL,NULL
NULL,ACTN,Die Hard with a Vengeance,B,Die Hard Quadrilogy,123,Die Hard with a Vengeance,0,NULL,NULL
NULL,ACTN,Die Hard 4.0,B,Die Hard Quadrilogy,123,Die Hard 4,0,NULL,NULL
NULL,ACTN,Lethal Weapon 1,B,Lethal Weapon Collection,109,Lethal Weapon,0,NULL,NULL
NULL,ACTN,Lethal Weapon 2,B,Lethal Weapon Collection,114,Lethal Weapon,0,NULL,NULL
NULL,ACTN,Lethal Weapon 3,B,Lethal Weapon Collection,118,Lethal Weapon,0,NULL,NULL
NULL,ACTN,Lethal Weapon 4,B,Lethal Weapon Collection,127,Lethal Weapon,0,NULL,NULL
NULL,HORR,The Crow: City of Angels,B,,91,The Crow 2 Set,0,NULL,NULL
NULL,HORR,The Crow: Salvation,B,,102,The Crow 2 Set,0,NULL,NULL
NULL,ACTN,Batman,B,Batman Anthology,126,Batman,0,NULL,NULL
NULL,ACTN,Batman Returns,B,Batman Anthology,126,Batman,0,NULL,NULL
NULL,ACTN,Batman Forever,B,Batman Anthology,121,Batman,0,NULL,NULL
NULL,ACTN,Batman & Robin,B,Batman Anthology,125,Batman,0,NULL,NULL
NULL,ACTN,Mission: Impossible,B,Extreme Blu-ray Trilogy,110,Mission Impossible,0,NULL,NULL
NULL,ACTN,Mission: Impossible,B,Extreme Blu-ray Trilogy,123,Mission Impossible,0,NULL,NULL
NULL,ACTN,Mission: Impossible,B,Extreme Blu-ray Trilogy,125,Mission Impossible,0,NULL,NULL
NULL,ADVNT,Back to the Future,B,Back to the Future Trilogy,116,Back to the Future,0,NULL,NULL
NULL,ADVNT,Back to the Future Part II,B,Back to the Future Trilogy,108,Back to the Future,0,NULL,NULL
NULL,ADVNT,Back to the Future Part III,B,Back to the Future Trilogy,118,Back to the Future,0,NULL,NULL
NULL,ADVNT,Planet of the Apes,B,5 Movie Collector's Edition,107,Planet of the Apes,0,NULL,NULL
NULL,ADVNT,Planet of the Apes 2: Beneath the Planet of the Apes,B,5 Movie Collector's Edition,90,Planet of the Apes,0,NULL,NULL
NULL,ADVNT,Planet of the Apes 3: Escape from the Planet of the Apes,B,5 Movie Collector's Edition,93,Planet of the Apes,0,NULL,NULL
NULL,ADVNT,Planet of the Apes 4: Conquest of the Planet of the Apes,B,5 Movie Collector's Edition,83,Planet of the Apes,0,NULL,NULL
NULL,ADVNT,Planet of the Apes 5: Battle for the Planet of the Apes,B,5 Movie Collector's Edition,82,Planet of the Apes,0,NULL,NULL
NULL,SCIFI,X-Men,B,X-Men Quadrilogy,100,X-Men,0,NULL,NULL
NULL,SCIFI,X-Men 2,B,X-Men Quadrilogy,128,X-Men 2,0,NULL,NULL
NULL,SCIFI,X-Men : The Last Stand,B,X-Men Quadrilogy,99,X-Men - The Last Stand,0,NULL,NULL
NULL,SCIFI,X-Men Origins: Wolverine,B,X-Men Quadrilogy,102,X-Men Origins - Wolverine,0,NULL,NULL
NULL,THRIL,Lord of War,B,,121,Lord of War,0,NULL,NULL
NULL,WAR,The Pianist,B,,149,The Pianist,0,NULL,NULL
NULL,CRIME,American Gangster,B,,157,American Gangster,0,NULL,NULL
NULL,WEST,Young Guns,B,,103,Young Guns,0,NULL,NULL
NULL,THRIL,Skyfall,B,,137,Skyfall,0,NULL,NULL
NULL,THRIL,Lucy,B,,89,Lucy,0,NULL,NULL
NULL,WAR,Tears of the Sun,B,,121,Tears of the Sun,0,NULL,NULL
NULL,HIST,Lincoln,B,,144,Lincoln,0,NULL,NULL
NULL,WAR,The Guns of Navarone,B,,145,The Guns of Navarone,0,NULL,NULL
NULL,HIST,12 Years a Slave,B,,133,12 Years a Slave,0,NULL,NULL
NULL,DRAMA,Crash,B,,114,Crash,0,NULL,NULL
NULL,CRIME,Once Upon a Time in America,B,,229,Once Upon a Time in America,0,NULL,NULL
NULL,HORR,The Silence of the Lambs,B,,113,The Silence of the Lambs,0,NULL,NULL
NULL,COMDY,Monty Python's Life of Brian,B,The Immaculate Edition,93,Monty Python's Life of Brian,0,NULL,NULL
NULL,WAR,Schindler's List,B,20th Anniversary Edition,195,Schindler's List,0,NULL,NULL
NULL,THRIL,The Girl who Played with Fire,B,,128,The Girl who Played with Fire,0,NULL,NULL
NULL,THRIL,Collateral,B,,120,Collateral,0,NULL,NULL
NULL,WAR,Letters from Iwo Jima,B,,134,Letters from Iwo Jima,0,NULL,NULL
NULL,COMDY,The Dictator,B,Extended Cut,83,The Dictator,0,NULL,NULL
NULL,HORR,Interview with the Vampire,B,,123,Interview with the Vampire,0,NULL,NULL
NULL,THRIL,Inception,B,,148,Inception,0,NULL,NULL
NULL,THRIL,The Adjustment Bureau,B,,106,The Adjustment Bureau,0,NULL,NULL
NULL,CRIME,Carlos The Jackal,B,3 Disc Collection,505,Carlos The Jackal,0,NULL,NULL
NULL,CRIME,Training Day,B,,122,Training Day,0,NULL,NULL
NULL,WAR,Tora! Tora! Tora!,B,40th Anniversary,148,Tora! Tora! Tora!,0,NULL,NULL
