NULL,DRAMA,1984,D,,116,1984,17,NULL,NULL
NULL,SCIFI,2001: A Space Odyssey,D,,143,2001 - A Space Odyssey,14,NULL,NULL
NULL,COMDY,40 Days and 40 Nights,D,,91,40 Days and 40 Nights,16,NULL,NULL
NULL,DRAMA,A Few Good Men,D,,132,A Few Good Men,34,NULL,NULL
NULL,COMDY,A Fish Called Wanda,D,Special Edition,104,A Fish Called Wanda,32,NULL,NULL
NULL,HIST,A Knight's Tale,D,,138,A Knight's Tale,24,NULL,NULL
NULL,THRIL,Air America,D,,108,Air America,36,NULL,NULL
NULL,ACTN,Air Force One,B,,124,Air Force One,42,NULL,NULL
NULL,DRAMA,Alive,D,,121,Alive,40,NULL,NULL
NULL,WAR,All Quiet on the Western Front,D,,123,All Quiet on the Western Front,0,NULL,NULL
NULL,DRAMA,All the President's Men,D,2-Disc Special Edition,133,All the President's Men,0,NULL,NULL
NULL,DRAMA,Amadeus,D,,153,Amadeus,0,NULL,NULL
NULL,THRIL,American Gangster,D,Extended Edition,150,American Gangster,0,NULL,NULL
NULL,DRAMA,Amistad,D,,148,Amistad,0,NULL,NULL
NULL,DRAMA,Any Given Sunday,B,Directors Cut,157,Any Given Sunday,37,NULL,NULL
NULL,DISAS,Armageddon,D,2-Disc Collector's Edition,147,Armageddon,0,NULL,NULL
NULL,ACTN,Arn: Knight Templar,B,,130,Arn - Knight Templar,31,NULL,NULL
NULL,DISAS,Atomic Train,D,,116,Atomic Train,0,NULL,NULL
NULL,COMDY,Austin Powers,D,,91,Austin Powers,0,NULL,NULL
NULL,COMDY,Austin Powers - Goldmember,D,,91,Austin Powers - Goldmember,0,NULL,NULL
NULL,COMDY,Austin Powers - The Spy who Shagged Me,D,,92,Austin Powers - The Spy who Shagged Me,0,NULL,NULL
NULL,ACTN,Bad Boys,D,,114,Bad Boys,0,NULL,NULL
NULL,ACTN,Bad Boys II,D,,141,Bad Boys II,0,NULL,NULL
NULL,WAR,Battle of Britain,B,,131,Battle of Britain,34,NULL,NULL
NULL,SCIFI,Battle: Los Angeles,B,,116,Battle - Los Angeles,29,NULL,NULL
NULL,WAR,Beaufort,D,,125,Beaufort,0,NULL,NULL
NULL,WAR,Behind Enemy Lines,B,,101,Behind Enemy Lines,37,NULL,NULL
NULL,COMDY,Beverly Hills Cop,D,,101,Beverly Hills Cop,0,NULL,NULL
NULL,COMDY,Beverly Hills Cop II,D,,99,Beverly Hills Cop II,0,NULL,NULL
NULL,COMDY,Beverly Hills Cop III,D,,100,Beverly Hills Cop III,0,NULL,NULL
NULL,ADVNT,Big Trouble in Little China,D,,95,Big Trouble in Little China,0,NULL,NULL
NULL,ACTN,Bird on a Wire,D,,106,Bird on a Wire,0,NULL,NULL
NULL,HIST,Black Death,B,,101,Black Death,33,NULL,NULL
NULL,ACTN,Blade,D,,115,Blade,0,NULL,NULL
NULL,ACTN,Blade,B,,120,Blade,24,NULL,NULL
NULL,THRIL,Blade Runner,D,The Final Cut,117,Blade Runner,0,NULL,NULL
NULL,COMDY,Blades of Glory,D,,89,Blades of Glory,0,NULL,NULL
NULL,THRIL,Body of Lies,D,,123,Body of Lies,0,NULL,NULL
NULL,COMDY,Borat,D,,80,Borat,0,NULL,NULL
NULL,ACTN,Broken Arrow,B,,104,Broken Arrow,18,NULL,NULL
NULL,WAR,Brotherhood (Taegukgi),D,,142,Brotherhood,0,NULL,NULL
NULL,THRIL,Burn After Reading,D,,92,Burn After Reading,0,NULL,NULL
NULL,WAR,By Dawn's Early Light,D,,100,By Dawn's Early Light,0,NULL,NULL
NULL,DOC,C.S.A. Confederate States of America,D,,89,C.S.A. Confederate States of America,0,NULL,NULL
NULL,COMDY,Caddyshack,D,,94,Caddyshack,0,NULL,NULL
NULL,COMDY,Caddyshack II,D,,94,Caddyshack II,0,NULL,NULL
NULL,DRAMA,Casablanca,D,,98,Casablanca,0,NULL,NULL
NULL,WAR,Casualties of War,D,,109,Casualties of War,0,NULL,NULL
NULL,THRIL,Catch Me if You Can,D,,135,Catch Me if You Can,0,NULL,NULL
NULL,HIST,Centurion,B,,93,Centurion,0,NULL,NULL
NULL,THRIL,Changeling,D,,142,Changeling,0,NULL,NULL
NULL,THRIL,Changing Lanes,D,,95,Changing Lanes,0,NULL,NULL
NULL,DRAMA,Charlie Wilson's War,D,,98,Charlie Wilson's War,0,NULL,NULL
NULL,COMDY,Chasing Amy,D,,108,Chasing Amy,0,NULL,NULL
NULL,DRAMA,Children of Men,D,2-Disc Special Edition,105,Children of Men,0,NULL,NULL
NULL,DRAMA,City Hall,D,,107,City Hall,0,NULL,NULL
NULL,DRAMA,City of Men,D,,102,City of Men,0,NULL,NULL
NULL,THRIL,Cliffhanger,B,,109,Cliffhanger,0,NULL,NULL
NULL,HORR,Cloverfield,D,,81,Cloverfield,0,NULL,NULL
NULL,WAR,Come and See,D,,137,Come and See,0,NULL,NULL
NULL,ACTN,Con Air,B,,115,Con Air,0,NULL,NULL
NULL,ADVNT,Congo,D,,104,Congo,0,NULL,NULL
NULL,DRAMA,Contact,B,,149,Contact,0,NULL,NULL
NULL,DRAMA,Contagion,B,,106,Contagion,0,NULL,NULL
NULL,DRAMA,Courage Under Fire,D,,112,Courage Under Fire,0,NULL,NULL
NULL,DRAMA,Criminal,D,,84,Criminal,0,NULL,NULL
NULL,COMDY,Crocodile Dundee,D,,94,Crocodile Dundee,0,NULL,NULL
NULL,COMDY,Crocodile Dundee II,D,,107,Crocodile Dundee II,0,NULL,NULL
NULL,THRIL,Cruel Intentions,D,,94,Cruel Intentions,0,NULL,NULL
NULL,THRIL,Cruel Intentions 2,D,,87,Cruel Intentions 2,0,NULL,NULL
NULL,HIST,Dances with Wolves,D,3-Disc Special Edition,226,Dances with Wolves,0,NULL,NULL
NULL,DRAMA,Dangerous Liasons,D,,115,Dangerous Liasons,0,NULL,NULL
NULL,HORR,Dawn of the Dead,D,Director's Cut,104,Dawn of the Dead,0,NULL,NULL
NULL,THRIL,Dirty Harry,D,,99,Dirty Harry,0,NULL,NULL
NULL,COMDY,Doc Hollywood,D,,99,Doc Hollywood,0,NULL,NULL
NULL,COMDY,Dodgeball,D,Extreme Edition,88,Dodgeball,0,NULL,NULL
NULL,COMDY,Dogma,D,,123,Dogma,0,NULL,NULL
NULL,DRAMA,Donnie Darko,D,,111,Donnie Darko,0,NULL,NULL
NULL,DRAMA,Dr Strangelove,D,Collector's Edition,90,Dr Strangelove,0,NULL,NULL
NULL,THRIL,Eastern Promises,D,,96,Eastern Promises,0,NULL,NULL
NULL,THRIL,Elysium,B,,109,Elysium,0,NULL,NULL
NULL,COMDY,Empire Records,D,Remix Special Fan Edition,102,Empire Records,0,NULL,NULL
NULL,WAR,Enemy at the Gates,D,,125,Enemy at the Gates,0,NULL,NULL
NULL,MUSIC,Evita,D,,129,Evita,0,NULL,NULL
NULL,DRAMA,Ex_Machina,B,,108,Ex_Machina,0,NULL,NULL
NULL,DOC,Farenheit 9/11,D,,122,Farenheit 9-11,0,NULL,NULL
NULL,DRAMA,Fargo,D,Special Edition,94,Fargo,0,NULL,NULL
NULL,COMDY,Ferris Bueller's Day Off,D,Bueller Edition,99,Ferris Bueller's Day Off,0,NULL,NULL
NULL,COMDY,Fierce Creatures,D,,89,Fierce Creatures,0,NULL,NULL
NULL,ACTN,Final Destination,D,,94,Final Destination,0,NULL,NULL
NULL,WAR,Flame and Citron,D,,130,Flame and Citron,0,NULL,NULL
NULL,ACTN,Flight,B,,138,Flight,0,NULL,NULL
NULL,DRAMA,Forever Young,D,,97,Forever Young,0,NULL,NULL
NULL,THRIL,Frantic,D,,115,Frantic,0,NULL,NULL
NULL,HORR,From Dusk till Dawn,B,,108,From Dusk till Dawn,0,NULL,NULL
NULL,DRAMA,Frost/Nixon,D,,117,Frost - Nixon,0,NULL,NULL
NULL,WAR,Full Metal Jacket,D,,112,Full Metal Jacket,0,NULL,NULL
NULL,WAR,Gallipoli,D,Collector's Edition,107,Gallipoli,0,NULL,NULL
NULL,HIST,Gettysburg,D,,244,Gettysburg,0,NULL,NULL
NULL,ACTN,Glory,B,,122,Glory,0,NULL,NULL
NULL,HIST,Gods and Generals,D,,180,Gods and Generals,0,NULL,NULL
NULL,ACTN,Godzilla,B,,139,Godzilla,0,NULL,NULL
NULL,THRIL,Gomorrah,D,,131,Gomorrah,0,NULL,NULL
NULL,DRAMA,Gone Baby Gone,B,,114,Gone Baby Gone,0,NULL,NULL
NULL,DRAMA,Good Will Hunting,B,,126,Good Will Hunting,0,NULL,NULL
NULL,DRAMA,Goodbye Charlie Bright,D,,84,Goodbye Charlie Bright,0,NULL,NULL
NULL,DRAMA,Green Street,D,,105,Green Street,0,NULL,NULL
NULL,WAR,Hamburger Hill,B,,110,Hamburger Hill,0,NULL,NULL
NULL,COMDY,Happy Gilmore,D,,88,Happy Gilmore,0,NULL,NULL
NULL,WAR,Heartbreak Ridge,B,,130,Heartbreak Ridge,0,NULL,NULL
NULL,WAR,Heaven & Earth,D,,135,Heaven and Earth,0,NULL,NULL
NULL,DRAMA,High Fidelity,D,,109,High Fidelity,0,NULL,NULL
NULL,ACTN,Highlander,B,Immortal Edition,117,Highlander,0,NULL,NULL
NULL,COMDY,Horrible Bosses,B,Totally Inappropriate Edition,98,Horrible Bosses,0,NULL,NULL
