id,description
ACTN,Action
COMDY,Comedy
WAR,War
DRAMA,Drama
HORR,Horror
HIST,Historic
SCIFI,Science Fiction
THRIL,Thriller
DISAS,Disaster
ADVNT,Adventure
CRIME,Crime
WEST,Western
